PLATFORM,A+1,B+1,B+2,Mobile+3,Mobile+4
?0,3303.00 ,223.00 ,40.30 ,679.00 ,4232.20 
?1,4191.00 ,58.00 ,67.20 ,212.00 ,1833.40 
?2,10.00 ,6.00 ,14.90 ,11.00 ,675.10 
?3,618.00 ,704.00 ,124.40 ,97.00 ,105.60 
?4,10.00 ,119.00 ,234.10 ,661.00 ,1946.90 
?5,212.00 ,152.00 ,2273.30 ,88.00 ,392.10 
?6,558.00 ,14.00 ,402.40 ,1258.00 ,4705.60 
?7,10440.00 ,158.00 ,221.40 ,47.00 ,27.40 
?8,262.00 ,457.00 ,935.50 ,2103.00 ,4545.50 
?9,2295.00 ,4116.00 ,27.70 ,1305.00 ,264.50 
?10,17.00 ,1394.00 ,47.80 ,1529.00 ,1428.30 
?11,4855.00 ,2580.00 ,256.20 ,216.00 ,3152.70 
?12,929.00 ,840.00 ,7.20 ,2219.00 ,1218.30 
?13,2110.00 ,12.00 ,684.40 ,5600.00 ,1304.50 
?14,12376.00 ,44.00 ,122.10 ,126.00 ,195.90 
?15,374.00 ,131.00 ,18.70 ,4901.00 ,2352.90 
?16,324.00 ,1785.00 ,2053.40 ,978.00 ,985.30 
?17,85.00 ,21.00 ,18.40 ,1032.00 ,262.70 
?18,33.00 ,175.00 ,3.40 ,954.00 ,6711.40 
?19,1115.00 ,11.00 ,1426.60 ,473.00 ,52.29 
Average,2205.85 ,650.00 ,448.97 ,1224.45 ,1819.63 
S. D.,3477.557586,1072.463078,692.195168,1531.159158,1907.92486
,,,,,
A: Windows 10 1511 Intel i3-4010U@1.70GHz,,,,,
B: Windows 10 21H1 Intel i3-4150@3.50GHz,,,,,
Mobile: Android 11 (MIUI 12.5.3.0) Qualcomm Snapdragon 730G@2.2GHz,,,,,
Browser 1:  Firefox Developer Edition 98.0b4 (64-bit) ,,,,,
Browser 2: Microsoft Edge 98.0.1108.50 (64 bit) (V8 9.8.118.4),,,,,
Browser 3: Firefox Daylight 97.1.0,,,,,
Browser 4: MIUI Browser 15.5,,,,,
,,,,,
